year|bib|age_group|gender|country|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|F8755|45-49|W|USA|3706|608|1664.0|3395.0|5053.0|6744.0|7118.0|8504.0|10317.0|12239.0|14323.0|15255.0
 2015|F11352|30-34|W|DEN|3705|649|1723.0|3442.0|5163.0|6897.0|7272.0|8695.0|10629.0|12450.0|14399.0|15255.0
 2015|F5734|H|W|EST|3704|595|1748.0|3479.0|5214.0|6948.0|7327.0|8711.0|10576.0|12426.0|14404.0|15255.0
 2015|F9051|50-54|W|GER|3703|349|1800.0|3679.0|5488.0|7308.0|7693.0|9112.0|10927.0|12682.0|14518.0|15253.0
 2015|F1281|H|W|HUN|3701|594|1657.0|3375.0|5110.0|6841.0|7217.0|8825.0|10740.0|12524.0|14413.0|15252.0
 2015|F11203|35-39|W|HUN|3701|603|1658.0|3375.0|5110.0|6841.0|7217.0|8825.0|10740.0|12524.0|14412.0|15252.0
 2015|F6310|60-64|W|GER|3700|33|1671.0|3399.0|5153.0|6890.0|7277.0|8683.0|10528.0|12497.0|14386.0|15251.0
 2015|F10066|55-59|W|GER|3699|131|1755.0|3483.0|5298.0|7066.0|7458.0|8881.0|10780.0|12632.0|14482.0|15250.0
 2015|F1945|35-39|W|BRA|3698|602|1853.0|3658.0|5379.0|7159.0|7542.0|8972.0|10805.0|12597.0|14436.0|15249.0
 2015|F9992|55-59|W|GER|3697|130|1766.0|3566.0|5336.0|7116.0|7507.0|8945.0|10759.0|12556.0|14434.0|15248.0
 2015|F3427|50-54|W|GER|3696|348|1627.0|3234.0|4845.0|6552.0|6937.0|8472.0|10475.0|12385.0|14347.0|15246.0
 2015|F4131|40-44|W|ITA|3695|730|1589.0|3188.0|4769.0|6387.0|6747.0|8098.0|9913.0|11863.0|14361.0|15245.0
 2015|F1936|40-44|W|DEN|3694|729|1718.0|3455.0|5156.0|6878.0|7251.0|8654.0|10516.0|12471.0|14424.0|15245.0
 2015|F790|40-44|W|FRA|3693|728|1693.0|3381.0|5108.0|6870.0|7251.0|8680.0|10533.0|12459.0|14392.0|15245.0
 2015|F8291|30-34|W|SWE|3692|648|1839.0|3676.0|5450.0|7239.0|7623.0|9053.0|10892.0|12711.0|14515.0|15244.0
 2015|F5326|H|W|CAN|3691|593|1577.0|3192.0|4853.0|6591.0|6981.0|8449.0|10370.0|12342.0|14373.0|15243.0
 2015|F2348|40-44|W|DEN|3690|727|1760.0|3525.0|5285.0|7086.0|7484.0|8919.0|10777.0|12625.0|14505.0|15243.0
