year|bib|age_group|gender|city|state|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|1432|65-69|M|Eaubonne||FRA|1471|1305|1|1334.0|2652.0|3973.0|5308.0|5603.0|6634.0|7964.0|9308.0|10696.0|11260.0
 2017|5403|50-54|M|Georgetown|PENANG|MAS|1470|1304|66|1254.0|2524.0|3805.0|5102.0|5392.0|6413.0|7752.0|9155.0|10643.0|11260.0
 2017|6412|25-29|M|Chicago|IL|USA|1469|1303|239|1386.0|2755.0|4116.0|5469.0|5767.0|6792.0|8089.0|9383.0|10725.0|11260.0
 2017|598|30-34|M|Chicago|IL|USA|1467|1302|285|1215.0|2417.0|3640.0|4887.0|5167.0|6155.0|7501.0|8971.0|10574.0|11260.0
 2017|2173|50-54|M|Roseville|NEW SOUTH WALES|AUS|1466|1301|65|1256.0|2502.0|3767.0|5046.0|5331.0|6350.0|7713.0|9153.0|10646.0|11259.0
 2017|1528|35-39|M|Laguna Niguel|CA|USA|1465|1300|282|1340.0|2620.0|3899.0|5213.0|5504.0|6535.0|7875.0|9268.0|10684.0|11259.0
 2017|6445|40-44|M|Chula Vista|CA|USA|1464|1299|246|1298.0|2601.0|3908.0|5249.0|5535.0|6555.0|7885.0|9251.0|10678.0|11259.0
 2017|4770|35-39|M|Sao Bernardo Do Campo|SAO PAULO|BRA|1463|1298|281|1300.0|2622.0|3922.0|5239.0|5527.0|6553.0|7883.0|9245.0|10671.0|11259.0
 2017|7238|35-39|M|Berkeley|CA|USA|1462|1297|280|1306.0|2608.0|3932.0|5249.0|5539.0|6555.0|7882.0|9259.0|10640.0|11257.0
 2017|1366|40-44|M|North Aurora|IL|USA|1461|1296|245|1300.0|2593.0|3894.0|5191.0|5480.0|6501.0|7809.0|9173.0|10615.0|11254.0
 2017|5547|40-44|M|Chicago|IL|FRA|1460|1295|244|1301.0|2618.0|3952.0|5293.0|5586.0|6641.0|7996.0|9323.0|10676.0|11253.0
 2017|6336|35-39|M|Milwaukee|WI|USA|1459|1294|279|1375.0|2678.0|3985.0|5288.0|5576.0|6601.0|7936.0|9294.0|10688.0|11253.0
 2017|4170|35-39|M|River Forest|IL|USA|1458|1293|278|1252.0|2501.0|3764.0|5031.0|5316.0|6341.0|7685.0|9144.0|10652.0|11253.0
 2017|10269|35-39|M|Bellevue|WA|ETH|1457|1292|277|1295.0|2560.0|3818.0|5095.0|5374.0|6419.0|7843.0|9280.0|10689.0|11252.0
 2017|2214|30-34|M|London|LONDON|GBR|1455|1291|284|1224.0|2464.0|3730.0|5000.0|5282.0|6317.0|7671.0|9137.0|10646.0|11250.0
 2017|9128|35-39|M|Chicago|IL|USA|1454|1290|276|1329.0|2651.0|3938.0|5211.0|5483.0|6449.0|7749.0|9122.0|10631.0|11250.0
 2017|1284|45-49|M|Trois-Rivieres|QC|CAN|1452|1289|109|1293.0|2583.0|3858.0|5149.0|5432.0|6454.0|7781.0|9163.0|10639.0|11249.0
 2017|2031|30-34|M|London|ENGLAND|GBR|1450|1288|283|1233.0|2494.0|3764.0|5034.0|5318.0|6344.0|7701.0|9135.0|10623.0|11248.0
 2017|5302|25-29|M|Hsinchu|TAIWAN|TPE|1449|1287|238|1294.0|2615.0|3925.0|5248.0|5534.0|6550.0|7868.0|9186.0|10623.0|11248.0
 2017|1535|35-39|M|Washington|DC|USA|1448|1286|275|1301.0|2582.0|3866.0|5149.0|5436.0|6460.0|7793.0|9209.0|10700.0|11248.0
